epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3884.32,0.85568,0.83744,1.11919,0.65645,0.52475,0.51375,0.39122,0.89314,0.99093,1.17759,0.000492625,0.000492625,0.000492625
43,3975.15,0.85449,0.82738,1.12201,0.5124,0.55136,0.50929,0.38593,0.90318,0.98523,1.18617,0.00048025,0.00048025,0.00048025
44,4064.85,0.85029,0.82462,1.11329,0.60501,0.52311,0.50629,0.38203,0.89261,0.98446,1.18806,0.000467875,0.000467875,0.000467875
45,4157.38,0.85584,0.82301,1.11812,0.56457,0.54312,0.49625,0.37148,0.90426,1.0018,1.18797,0.0004555,0.0004555,0.0004555
46,4249.19,0.84566,0.81395,1.1123,0.69485,0.4916,0.51363,0.39058,0.89582,0.98334,1.18834,0.000443125,0.000443125,0.000443125
47,4340.71,0.84934,0.81005,1.11138,0.65287,0.52492,0.51838,0.38909,0.90262,0.9813,1.19859,0.00043075,0.00043075,0.00043075
48,4430.19,0.83808,0.7995,1.10408,0.63663,0.51193,0.51919,0.39328,0.898,0.99117,1.1926,0.000418375,0.000418375,0.000418375
49,4522.51,0.83588,0.78985,1.10549,0.62466,0.54791,0.51116,0.38828,0.90672,0.98752,1.20184,0.000406,0.000406,0.000406
50,4614.29,0.83881,0.79571,1.10373,0.67578,0.55174,0.52699,0.40245,0.89975,0.99107,1.19165,0.000393625,0.000393625,0.000393625
51,4706.56,0.82921,0.77469,1.09976,0.66311,0.50311,0.51952,0.39829,0.89317,0.99461,1.18988,0.00038125,0.00038125,0.00038125
52,4796.02,0.83319,0.7776,1.10204,0.71622,0.50963,0.53206,0.40796,0.89766,0.97504,1.19429,0.000368875,0.000368875,0.000368875
53,4887.7,0.83127,0.77481,1.0971,0.54558,0.55651,0.51948,0.39519,0.90249,1.00364,1.19021,0.0003565,0.0003565,0.0003565
54,4978.73,0.82914,0.77173,1.09646,0.66209,0.53412,0.53393,0.40644,0.90168,0.97195,1.19055,0.000344125,0.000344125,0.000344125
55,5070.47,0.82498,0.74678,1.08914,0.68486,0.54045,0.53712,0.41404,0.90279,0.94939,1.18991,0.00033175,0.00033175,0.00033175
56,5161.19,0.8183,0.74736,1.09002,0.65212,0.53001,0.51565,0.39737,0.89528,0.97769,1.19023,0.000319375,0.000319375,0.000319375
57,5251.48,0.81912,0.74105,1.09032,0.63686,0.52404,0.51191,0.38922,0.88758,0.98541,1.18352,0.000307,0.000307,0.000307
58,5342.36,0.81529,0.74432,1.08563,0.67678,0.52605,0.53367,0.41046,0.90033,0.98081,1.20673,0.000294625,0.000294625,0.000294625
59,5433.02,0.80843,0.73412,1.08329,0.67307,0.51761,0.52661,0.40551,0.88928,0.95871,1.18693,0.00028225,0.00028225,0.00028225
60,5522.5,0.80705,0.72538,1.08177,0.64471,0.55026,0.54121,0.41491,0.89492,0.97403,1.19446,0.000269875,0.000269875,0.000269875
61,5614.11,0.8071,0.72191,1.08132,0.56249,0.55469,0.53148,0.41017,0.89417,0.97601,1.19088,0.0002575,0.0002575,0.0002575
62,5704.74,0.80028,0.712,1.08009,0.69818,0.53831,0.54325,0.42081,0.89422,0.95433,1.19629,0.000245125,0.000245125,0.000245125
63,5796.41,0.8018,0.71679,1.0811,0.59711,0.52189,0.51994,0.39702,0.90126,0.97096,1.19473,0.00023275,0.00023275,0.00023275
64,5886.44,0.80912,0.72305,1.08414,0.68476,0.51622,0.52418,0.39962,0.88874,0.98829,1.19248,0.000220375,0.000220375,0.000220375
65,5977.93,0.80758,0.71337,1.0802,0.67677,0.5117,0.52849,0.40028,0.89238,0.96231,1.19447,0.000208,0.000208,0.000208
66,6069.51,0.79592,0.70524,1.07717,0.72064,0.50686,0.53484,0.40749,0.90026,0.98102,1.19513,0.000195625,0.000195625,0.000195625
67,6158.76,0.79901,0.69639,1.07649,0.6815,0.53618,0.53616,0.40876,0.89193,0.96766,1.19746,0.00018325,0.00018325,0.00018325
68,6250.81,0.79698,0.68723,1.07026,0.68163,0.53629,0.53971,0.41067,0.8988,0.97444,1.19212,0.000170875,0.000170875,0.000170875
69,6342.66,0.80004,0.6947,1.07407,0.53768,0.56256,0.53406,0.41107,0.88937,0.96782,1.1953,0.0001585,0.0001585,0.0001585
70,6434.69,0.78975,0.68264,1.07066,0.7023,0.51521,0.53561,0.40881,0.89715,0.96326,1.19259,0.000146125,0.000146125,0.000146125
71,6510.8,0.73445,0.56732,1.05813,0.66327,0.54186,0.54152,0.41512,0.89721,0.96641,1.20325,0.00013375,0.00013375,0.00013375
72,6582.06,0.72503,0.54461,1.05121,0.65063,0.55629,0.5371,0.41142,0.90709,0.96078,1.21202,0.000121375,0.000121375,0.000121375
73,6652.95,0.72215,0.53659,1.04784,0.67898,0.53262,0.53124,0.40539,0.90822,0.96637,1.2077,0.000109,0.000109,0.000109
74,6724.94,0.71832,0.52889,1.04574,0.64124,0.5541,0.53013,0.40646,0.91019,0.9624,1.20873,9.6625e-05,9.6625e-05,9.6625e-05
75,6796.92,0.71586,0.52225,1.04378,0.71925,0.52199,0.54139,0.41353,0.91491,0.97253,1.21774,8.425e-05,8.425e-05,8.425e-05
76,6867.73,0.70953,0.50606,1.04162,0.71372,0.52306,0.53573,0.41117,0.90609,0.97125,1.21613,7.1875e-05,7.1875e-05,7.1875e-05
77,6939.78,0.70582,0.5117,1.03862,0.70002,0.53661,0.54175,0.41687,0.90178,0.96661,1.21074,5.95e-05,5.95e-05,5.95e-05
78,7010.92,0.70454,0.50628,1.03891,0.66461,0.55862,0.53461,0.41088,0.89364,0.97653,1.20307,4.7125e-05,4.7125e-05,4.7125e-05
79,7083.89,0.70608,0.50274,1.04013,0.69102,0.54472,0.53583,0.41116,0.90021,0.97577,1.20578,3.475e-05,3.475e-05,3.475e-05
80,7155.2,0.70006,0.49453,1.03839,0.66346,0.55242,0.53335,0.40864,0.89787,0.97066,1.20471,2.2375e-05,2.2375e-05,2.2375e-05
